session,final_neurons,keep,delete,motion
CTA\AVG2x-TSeries-11282023-965-475um-430um-32z-000A,77,47,609,
CTA\AVG2x-TSeries-11282023-965-475um-430um-32z-000B,74,40,639,
CTA\AVG2x-TSeries-12012023-962-525um-485um-23z-000A,139,54,593,
CTA\AVG2x-TSeries-12012023-962-525um-485um-23z-000B,175,81,617,
CTA\AVG2x-TSeries-12012023-963-462um-407um-3z-000A,31,11,273,
CTA\AVG2x-TSeries-12012023-963-462um-407um-3z-000B,42,16,402,
CTA\AVG2x-TSeries-12012023-964-516um-456um-31z-000A,20,5,259,
CTA\AVG2x-TSeries-12012023-964-516um-456um-31z-000B,25,8,286,
CTA\AVG2x-TSeries-12012023-965-468um-423um-32z-000A,69,29,354,
CTA\AVG2x-TSeries-12012023-965-468um-423um-32z-000B,79,44,601,
CTA\AVG2x-TSeries-12062023-962-518um-478um-23z-000A,135,70,731,
CTA\AVG2x-TSeries-12062023-962-518um-478um-23z-000B,121,51,455,
LH\AVG8x-TSeries-07032022-100-371um-35z-000,27,21,317,
LH\AVG8x-TSeries-07032022-94-455um-29z-000,15,13,370,
LH\AVG8x-TSeries-07062022-94-560-28z-000,23,,,
LH\AVG8x-TSeries-07082022-100-292um-35z-000,20,17,493,
LH\AVG8x-TSeries-07082022-94-447um-29z-000,12,8,431,
LH\AVG8x-TSeries-07102022-94-564um-28z-000,12,10,266,
LH\AVG8x-TSeries-07122022-94-627um-3z-000,14,10,295,
LH\AVG8x-TSeries-07132022-94-545um-28z-000,12,9,351,
LH\AVG8x-TSeries-07162022-104-358um-3z-000,39,26,582,
LH\AVG8x-TSeries-07162022-99-295um-35z-000,37,18,401,
LH\AVG8x-TSeries-07182022-99-um-35z-000,33,12,426,
LH\AVG8x-TSeries-07202022-104-375um-3z-001,49,22,542,
LH\AVG8x-TSeries-07212022-104-460um-28z-000,26,17,595,
LH\AVG8x-TSeries-07212022-98-450um-33z-000,47,31,535,
LH\AVG8x-TSeries-07212022-99-395um-3z-000,55,29,555,
LH\AVG8x-TSeries-07222022-98-380um-33z-000,56,38,435,
LH\AVG8x-TSeries-07222022-99-325um-35z-000,56,,,
Valence\AVG2x-TSeries-11272023-964-495um-425um-22z-000A,32,9,602,
Valence\AVG2x-TSeries-11272023-964-495um-425um-22z-000B,60,28,821,
Valence\AVG2x-TSeries-11272023-965-466um-426um-33z-000A,65,40,451,
Valence\AVG2x-TSeries-11272023-965-466um-426um-33z-000B,102,46,422,
Valence\AVG2x-TSeries-11282023-921-800um-720um-27z-000A,67,30,207,
Valence\AVG2x-TSeries-11282023-921-800um-720um-27z-000B,67,34,289,
