session,final_neurons,keep,delete,motion
3odor\AVG5x-TSeries-042225-bla15-200um-45z-000,20,16,330,
3odor\AVG5x-TSeries-042225-bla7-797um-27z-000,16,5,307,
3odor\AVG5x-TSeries-042525-bla13-655um-27z-000,34,30,383,
3odor\AVG5x-TSeries-042525-bla14-776um-3z-000,36,14,164,
3odor\AVG5x-TSeries-042525-bla15-183um-45z-000,25,14,311,
3odor\AVG5x-TSeries-042525-bla7-812um-27z-000,11,1,353,
3odor\AVG5x-TSeries-043025-bla13-653um-27z-000,39,32,386,
3odor\AVG5x-TSeries-043025-bla14-776um-3z-000,39,,,
3odor\AVG5x-TSeries-043025-bla15-211um-45z-000,19,,,
3odor\AVG5x-TSeries-043025-bla7-807um-27z-000,14,8,661,
4odorDO\AVG5x-TSeries-02092026-bla12-681um-22z-000,63,62,64,
4odorDO\AVG5x-TSeries-02092026-bla12-681um-22z-000\_bootstrap_validate,518,,,
4odorDO\AVG5x-TSeries-02092026-bla16-314um-36z-000,16,16,45,
4odorDO\AVG5x-TSeries-02092026-bla8-745um-23z-000,19,19,35,
6odorDualDiffRew\AVG5x-TSeries-052026-bla36-669um-29z-000,167,,,
6odorDualDiffRew\AVG5x-TSeries-052126-bla36-730um-26z-000,183,,,
6odorDualDiffRew\AVG5x-TSeries-052626-bla36-816um-24z-000,155,,,
6odorDualDiffRew\AVG5x-TSeries-052726-bla37-339um-35z-000,47,47,109,
6odorDualDiffRew\AVG5x-TSeries-052826-bla37-216um-37z-000,197,,,
6odorDualDiffRew\AVG5x-TSeries-060326-bla36-742um-26z-000,269,,,
6odorDualDiffRew\AVG5x-TSeries-060426-bla36-649um-29z-000,148,,,
6odorDualDiffRew\AVG5x-TSeries-060426-bla37-275um-35z-000,131,,,
6odorDualDiffRew\AVG5x-TSeries-060526-bla36-820um-24z-000,130,,,
6odorDualDiffRew\AVG5x-TSeries-060526-bla37-229um-37z-000,206,,,
6odorDualDiffRew\AVG5x-TSeries-061126-bla36-668um-29z-000,214,,,
6odorDualDiffRew\AVG5x-TSeries-061126-bla37-277um-35z-000,139,,,
6odorDualDiffRew\AVG5x-TSeries-061126-pnb97-561um-3z-000,138,,,
6odorDualDiffRew\AVG5x-TSeries-061226-bla36-830um-24z-000,159,,,
6odorDualDiffRew\AVG5x-TSeries-061226-bla37-213um-37z-000,140,,,
6odorDualDiffRew\AVG5x-TSeries-061226-pnb97-679um-24z-000,122,,,
6odorDualDiffRew\AVG5x-TSeries-061226-pnb98-511um-3z-000,152,,,
Block_Valence\AVG5x-TSeries-121025-bla16-293um-36z-000,18,14,629,
Block_Valence\AVG5x-TSeries-121025-bla8-582um-23z-000,59,33,478,
Block_Valence\AVG5x-TSeries-121125-bla12-700um-23z-000,62,38,391,
CTA\AVG5x-TSeries-03312025-bla3-655um-26z-000,20,14,384,
CTA\AVG5x-TSeries-03312025-bla4-741um-28z-000-ReMC,6,5,419,
CTA\AVG5x-TSeries-03312025-bla5-546um-25z-000,29,18,267,
CTA\AVG5x-TSeries-03312025-bla6-688um-3z-000,5,5,693,
CTA\AVG5x-TSeries-04042025-bla4-712um-28z-000-ReMC,6,4,422,
CTA\AVG5x-TSeries-04042025-bla6-686um-3z-000,10,7,690,
CTA\AVG5x-TSeries-04072025-bla3-679um-26z-000,25,15,306,
CTA\AVG5x-TSeries-04072025-bla5-543um-25z-000,30,22,297,
CTA\AVG5x-TSeries-04082025-bla3-694um-26z-000,41,30,258,
CTA\AVG5x-TSeries-04082025-bla4-711um-28z-000-ReMC,3,2,377,
CTA\AVG5x-TSeries-04082025-bla5-552um-25z-000,39,23,257,
CTA\AVG5x-TSeries-09232025-bla13-640um-25z-000,27,14,400,
CTA\AVG5x-TSeries-09232025-bla14-570um-28z-000,24,8,138,
CTA\AVG5x-TSeries-09232025-bla15-229um-33z-000,37,22,401,
CTA\AVG5x-TSeries-09262025-bla13-629um-25z-000,23,9,423,
CTA\AVG5x-TSeries-09262025-bla14-561um-28z-000,31,12,158,
